city_name,city_name2,team_name,lat,lon,usps,target_city,rank,pop2021,pop2010,growth_10,growth_rank,density,aland_sqmi,footballteam_present,pro_teams,stadium_count,per_capita_income,total_households,Margin of Error!!HOUSEHOLDS BY TYPE!!Total households,Percent!!HOUSEHOLDS BY TYPE!!Total households,married_cpl_hh,married_cpl_child_u18,non_married_hh,nonmarried_cpl_child_u18,single_male_hh,single_male_hh_childu18,"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone",single_male_hh_over65,single_female_hh,single_female_hh_childu18,"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone",single_female_hh_childu18,hh_multiple_ppl_u18,hh_multiple_ppl_o65,avg_household_size,avg_family_size,estimated_population,Estimate!!RELATIONSHIP!!Population in households!!Spouse,estimate_unmarried,estimate_child,estimate_otherrelative,estimate_nonrelative,estimate_male_o15,estimate_male_o15_unmarried,estimate_male_married,estimate_male_o15_seperated,estimate_male_o15_widow,estimate_male_o15_divorced,estimate_female_o15,estimate_female_o15_unmarried,estimate_female_married,estimate_female_o15_seperated,estimate_female_o15_widow,estimate_female_o15_divorced,estimate_15to50_childu1,per1000_female15to50_childu1_unmarried,per1000_female15to50_childu1,per1000_female15to19_childu1,per1000_female20to34_childu1,per1000_female35to50_childu1,grandparents_kidsinhouse_u18,grandparents_kids_inhouse,grandparents_kids_inhouse_u1,grandparents_kids_inhouse_1to2,grandparents_kids_inhouse_3to4,grandparents_kids_inhouse_o5,grandparents_kids_inhouse_u18,grandparents_kids_inhouse_u18female,school_o3,school_grade9to12,college_gradschool,educated_o25,noneducated_o25_below9thgrade,noneducated_o25_9to12thgrade,highschoolgrad_o25,associates_degree_o25,bachelors_degree_o25,grad_degree_o25,highschoolgradormore_o25,bachelorsormore_o25,Estimate!!VETERAN STATUS!!Civilian population 18 years and over,veteran_o18,disabled,Estimate!!PLACE OF BIRTH!!Total population,native_pop,american_pop,foreignborn_pop,foreignborn_citizen,foreignborn_naturalized,foreignborn_noncitizen,pop_born_abroad,Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!English only,nonenglishspeaking,spanish_speaking,household_comp_internet,household_computer,household_wifi,.pred_1,.pred_LR1,.pred_LR2,.pred_rf,URL_logo
Minneapolis,Minneapolis,Minnesota Vikings,44.97388,-93.25809,MN,,,439012,383067,0.146,,8130,54,1,6,2,64255,1396025,5408,1396025,689636,283589,101628,31081,257133,18952,185914,51013,347628,57866,221634,104066,421555,373647,2.56,3.21,3578234,689857,101510,1069667,184845,136330,1442080,535295,736047,11281,28591,130866,1486504,459059,735539,15207,98104,178595,44606,21,52,5,84,34,46573,9574,1254,2105,1681,4534,9574,5728,910340,197282,221953,2482908,65084,80174,530423,254992,702983,369679,2337650,1072662,2783828,155848,364698,3640043,3254788,3227187,385255,385255,222222,163033,412856,2900691,509021,149352,1396025,1327880,1258065,99.59%,92.73%,100.00%,99.80%,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png
Nashville,Nashville,Tenessee Titans,36.16646,-86.77129,TN,,,678448,604589,0.1222,,1427,475.543,1,2,2,60680,733787,6057,733787,366741,145902,45691,13064,124721,8584,85806,19410,196634,39317,111087,46761,232237,185964,2.59,3.15,1897061,366396,45859,547678,118506,84835,756577,265098,393197,10443,16559,71280,807252,243314,396444,12411,59486,95597,26133,33,54,9,91,29,38927,16097,2870,3533,2733,6961,16097,9613,462732,100515,111111,1312544,45759,78844,333151,95062,326225,179304,1187941,505529,1490454,96192,227121,1933860,1758724,1741658,175136,175136,72422,102714,192202,1601670,212399,115207,733787,695332,657326,98.28%,70.11%,99.83%,87.52%,https://upload.wikimedia.org/wikipedia/en/thumb/c/c1/Tennessee_Titans_logo.svg/100px-Tennessee_Titans_logo.svg.png
New Orleans,New Orleans,New Orleans Saints,29.95093,-90.08136,LA,,,388424,347772,0.1169,,2292,169.434,1,2,1,54363,485267,4407,485267,191733,66206,31059,8393,99092,4741,74025,20461,163383,32500,89854,37550,130097,149507,2.58,3.38,1251791,191160,31388,386016,113988,43972,491050,198758,209217,10300,15554,57221,543320,194634,211115,12297,49041,76233,13716,32,45,8,87,15,25621,10285,2416,2013,1793,4063,10285,7118,311579,63423,78274,887526,32255,73715,246877,50976,174560,111817,781556,286377,985446,59809,196022,1270530,1173722,1160037,96808,96808,45279,51529,110493,1063172,130674,77606,485267,444441,405757,90.72%,41.92%,99.80%,75.02%,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/New_Orleans_Saints_logo.svg/98px-New_Orleans_Saints_logo.svg.png
New York City,New York City,New York Giants/Jets,40.81219,-74.07698,NY,,,8230290,8190210,0.0049,,27400,300.381,1,11,3,79844,7102817,14519,7102817,3242285,1345765,377652,110873,1259543,69459,831845,251003,2223337,360921,1193481,604916,2125000,2284932,2.65,3.3,18828578,3238358,381331,5782129,1614183,709760,7558045,3045275,3729728,123013,184050,475979,8250538,2958610,3599705,204315,697130,790778,214601,20,46,5,66,38,419771,92662,15334,18039,14979,44310,92662,63054,4619686,955346,1303827,13500496,881007,829657,3316837,895797,3266624,2375867,11789832,5642491,15110695,473161,1906680,19216182,13518443,12970945,5697739,5697739,3387398,2310341,6245237,10845210,7220912,3653083,7102817,6598414,6233941,99.72%,99.28%,100.00%,99.80%,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/New_York_Giants_logo.svg/100px-New_York_Giants_logo.svg.png
Oklahoma City,Oklahoma City,Oklahoma City,35.4676,-97.5164,OK,x,5,669347,582516,0.1491,3,1104,606.445,0,1,0,48860,523919,4202,523919,245879,99540,31989,10690,102623,8092,71046,17793,143428,30615,81009,37464,167450,141295,2.63,3.28,1376838,246637,31209,423270,97299,54504,546799,195580,263075,10831,15106,62207,574623,168195,267202,14109,47143,77974,21040,35,61,7,107,30,29290,13198,2264,3257,2127,5550,13198,8459,371984,73145,98821,921672,37816,62234,255496,68563,183585,106502,821622,290087,1056189,94121,196474,1408950,1295852,1278729,113098,113098,48622,64476,130221,1137213,180375,127555,523919,491223,458689,83.64%,38.20%,99.51%,14.57%,
Philadelphia,Philadelphia,Philadelphia Eagles,39.90078,-75.16745,PA,,,1585010,1528280,0.0371,,11804,134.279,1,5,2,66596,2323207,7891,2323207,1052682,398347,144305,42479,408021,29995,285410,80555,718199,132219,393630,189397,681913,716485,2.56,3.2,5943507,1052103,144835,1799462,433573,190327,2397494,960099,1147162,41847,60518,187868,2617186,923064,1124686,54569,229410,285457,70695,29,49,8,76,34,133174,41854,5860,6748,7909,21337,41854,26087,1483998,305467,416915,4248994,133140,240015,1210742,310187,981041,677330,3875839,1658371,4775141,275857,791653,6102434,5434752,5292261,667682,667682,379983,287699,810173,4812566,939854,392387,2323207,2172175,2066852,99.67%,96.42%,100.00%,99.80%,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Philadelphia_Eagles_logo.svg/100px-Philadelphia_Eagles_logo.svg.png
Phoenix,Phoenix,Arizona Cardinals,33.5277,-112.26261,AZ,,,1733630,1449040,0.1964,,3349,517.673,1,5,3,48065,1765135,9816,1765135,860545,328592,132574,43437,315306,27378,207250,59914,456710,80726,252739,121957,546036,540317,2.76,3.35,4863677,859972,133125,1468256,419539,217650,1970606,752732,946866,24918,46217,199873,2019891,629432,937091,33765,149279,270324,61234,33,52,17,90,26,121351,40162,8127,6214,5971,19850,40162,23896,1211972,271592,298420,3341094,173748,227350,768811,292743,686516,387981,2939996,1074497,3786404,288643,574842,4948203,4240640,4170743,707563,707563,309527,398036,777460,3417116,1229478,924969,1765135,1694284,1571634,99.65%,95.40%,100.00%,98.80%,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png
Pittsburgh,Pittsburgh,Pittsburgh Steelers,40.44679,-80.01576,PA,,,299718,305283,-0.0182,,5412,55.376,1,3,2,60227,1028436,5792,1028436,454060,148082,73655,18051,209256,10545,160932,46378,291465,36609,193596,102939,236083,345067,2.19,2.84,2256183,453498,74199,556664,87216,56170,944961,343115,468726,12978,32413,87729,1013097,297083,477716,17342,110903,110053,24978,23,50,12,85,26,30658,12613,1470,1895,2573,6675,12613,7802,485241,102246,135433,1692649,27302,70225,532317,174520,369868,239397,1595122,609265,1880204,138062,343271,2317600,2220425,2205871,97175,97175,48303,48872,111729,2082240,117857,26463,1028436,928855,884708,99.17%,81.38%,100.00%,96.13%,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png
Portland,Portland,Portland,45.5152,-122.6784,OR,x,2,662549,585429,0.1317,4,4966,133.421,0,2,1,59921,964554,4818,964554,461922,179371,86403,21978,174819,12403,119379,34529,241410,36291,145399,62599,274248,272323,2.54,3.13,2453623,462096,86080,667194,146587,127112,1012773,374552,500750,10786,20056,106629,1045911,317667,503135,14882,71201,139026,26341,17,43,3,63,33,42029,9424,2157,2012,1904,3351,9424,5825,566826,120916,147367,1769500,51617,77246,368268,155195,437779,275571,1640637,713350,1965735,130207,296606,2493221,2172439,2134672,320782,320782,166199,154583,358549,1919432,436919,200651,964554,925269,875899,98.57%,72.40%,99.84%,94.80%,
San Antonio,San Antonio,San Antonio,29.4241,-98.4936,TX,x,1,1581730,1332300,0.1872,2,3261,485.113,0,2,2,48684,830598,5623,830598,388561,158450,50270,18924,152113,13411,100498,27149,239654,51874,118995,47570,283974,227921,3.03,3.72,2513683,388506,50511,856632,282040,105396,991358,394666,450982,24419,23299,97992,1028821,334663,445646,34308,78468,135736,34355,37,54,18,88,32,69780,22622,3420,4391,4327,10484,22622,15421,680614,141830,170465,1664242,111526,127882,434585,138952,306816,172694,1424834,479510,1890623,187726,356985,2550960,2258056,2190389,292904,292904,126548,166356,360571,1546681,833215,747053,830598,783324,714525,97.97%,67.15%,99.81%,88.80%,
San Francisco,San Francisco,San Francisco 49ers,37.71349,-122.38626,CA,,,883255,805505,0.0965,,18832,46.903,1,4,3,104921,1721576,7415,1721576,837515,358419,116424,22624,317089,15733,210715,63167,450548,60230,260460,127162,506405,525815,2.7,3.32,4654824,836669,117277,1270057,401052,308193,1949034,775103,977457,23917,37037,135520,2014680,685311,943806,31872,144819,208872,49498,17,42,1,56,39,108515,23322,4233,4808,2660,11621,23322,14909,1099253,220608,350624,3443062,190616,169226,539467,226040,1032030,736144,3083220,1768174,3804888,142447,435463,4731803,3267755,3181171,1464048,1464048,852834,611214,1550632,2628732,1852156,698829,1721576,1649311,1580941,99.61%,93.79%,100.00%,99.80%,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/San_Francisco_49ers_logo.svg/100px-San_Francisco_49ers_logo.svg.png
Seattle,Seattle,Seattle Seahawks,47.59515,-122.33163,WA,,,776555,610630,0.2717,,9260,83.862,1,5,3,78073,1541245,6838,1541245,751436,318097,127273,29893,294856,19017,201226,44605,367680,53511,220446,98148,456143,388375,2.54,3.12,3910347,751013,127635,1057453,234760,198241,1631302,599565,825309,21754,28377,156297,1636541,484517,812107,25356,109901,204660,52980,19,53,5,83,36,68236,15436,2254,2119,1852,9211,15436,9218,917875,180836,249353,2808487,89856,113141,537480,254217,754202,485529,2605490,1239731,3109849,234435,427382,3979845,3197119,3116467,782726,782726,378171,404555,863378,2813220,927850,261339,1541245,1490087,1433861,99.45%,88.13%,99.94%,99.30%,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Seattle_Seahawks_logo.svg/100px-Seattle_Seahawks_logo.svg.png
Tampa,Tampa,Tampa Bay Buccaneers,27.97597,-82.50335,FL,,,404636,337053,0.2005,,3549,114.017,1,3,2,48908,1228481,9173,1228481,544594,172782,88501,24108,228124,14599,165241,55655,367262,57582,220269,109994,302252,434531,2.56,3.25,3145542,545226,87847,878047,260693,145248,1283932,459234,602945,20873,43881,156999,1388896,396066,603801,26561,139723,222745,33947,29,47,12,75,32,63803,17186,4586,2608,2344,7648,17186,11612,690293,141996,188880,2318658,87444,150245,661435,231387,470613,262762,2080969,733375,2557485,234531,454127,3194831,2733463,2613865,461368,461368,251585,209783,580966,2343434,684056,482818,1228481,1167143,1093365,99.17%,80.90%,100.00%,99.80%,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Tampa_Bay_Buccaneers_logo.svg/100px-Tampa_Bay_Buccaneers_logo.svg.png
Washington,Washington,Washington Football Team,38.9077,-76.86452,DC,,,714153,605226,0.18,,11681,61.136,1,6,2,74385,2251002,8870,2251002,1107444,488145,124102,32226,384265,25196,260107,60251,635191,109910,366462,144707,726486,596402,2.74,3.4,6175951,1106962,124774,1893837,514138,285238,2453390,957608,1242890,33207,46992,172693,2624572,922995,1209050,51222,175220,266085,75572,22,48,7,68,40,143975,34639,5615,7140,5353,16531,34639,22440,1614781,323323,460759,4310584,200428,186422,775315,264191,1132060,1083660,3923734,2215720,4800407,372052,542782,6280697,4840853,4700774,1439844,1439844,754213,685631,1579923,4140907,1739876,806999,2251002,2171907,2077633,99.66%,96.11%,100.00%,99.80%,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Washington_football_team_wlogo.svg/1024px-Washington_football_team_wlogo.svg.png
