city_name,city_name2,team_name,lat,lon,usps,target_city,rank,pop2021,pop2010,growth_10,growth_rank,density,aland_sqmi,footballteam_present,pro_teams,stadium_count,per_capita_income,total_households,Margin of Error!!HOUSEHOLDS BY TYPE!!Total households,Percent!!HOUSEHOLDS BY TYPE!!Total households,married_cpl_hh,married_cpl_child_u18,non_married_hh,nonmarried_cpl_child_u18,single_male_hh,single_male_hh_childu18,"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone",single_male_hh_over65,single_female_hh,single_female_hh_childu18,"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone",single_female_hh_childu18,hh_multiple_ppl_u18,hh_multiple_ppl_o65,avg_household_size,avg_family_size,estimated_population,Estimate!!RELATIONSHIP!!Population in households!!Spouse,estimate_unmarried,estimate_child,estimate_otherrelative,estimate_nonrelative,estimate_male_o15,estimate_male_o15_unmarried,estimate_male_married,estimate_male_o15_seperated,estimate_male_o15_widow,estimate_male_o15_divorced,estimate_female_o15,estimate_female_o15_unmarried,estimate_female_married,estimate_female_o15_seperated,estimate_female_o15_widow,estimate_female_o15_divorced,estimate_15to50_childu1,per1000_female15to50_childu1_unmarried,per1000_female15to50_childu1,per1000_female15to19_childu1,per1000_female20to34_childu1,per1000_female35to50_childu1,grandparents_kidsinhouse_u18,grandparents_kids_inhouse,grandparents_kids_inhouse_u1,grandparents_kids_inhouse_1to2,grandparents_kids_inhouse_3to4,grandparents_kids_inhouse_o5,grandparents_kids_inhouse_u18,grandparents_kids_inhouse_u18female,school_o3,school_grade9to12,college_gradschool,educated_o25,noneducated_o25_below9thgrade,noneducated_o25_9to12thgrade,highschoolgrad_o25,associates_degree_o25,bachelors_degree_o25,grad_degree_o25,highschoolgradormore_o25,bachelorsormore_o25,Estimate!!VETERAN STATUS!!Civilian population 18 years and over,veteran_o18,disabled,Estimate!!PLACE OF BIRTH!!Total population,native_pop,american_pop,foreignborn_pop,foreignborn_citizen,foreignborn_naturalized,foreignborn_noncitizen,pop_born_abroad,Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!English only,nonenglishspeaking,spanish_speaking,household_comp_internet,household_computer,household_wifi,.pred_1,.pred_LR1,.pred_LR2,.pred_rf,URL_logo
Denver,Denver,Denver Broncos,39.74394,-105.0201,CO,,,749103,603359,0.2416,,4887,153.292,1,5,2,67236,1152457,4669,1152457,555603,229960,83683,17818,229681,16975,157579,36015,283490,42219,166380,66876,341519,281211,2.54,3.17,2931962,553994,84982,814770,195200,130559,1209727,444521,603255,13493,24705,123753,1215790,369269,596725,19070,70315,160411,33324,18,45,16,61,35,56985,20149,4317,3551,3111,9170,20149,12856,699568,150185,167240,2075491,69356,93279,411836,156346,596198,354073,1912856,950271,2306344,164527,276045,2967239,2615315,2564119,351924,351924,180533,171391,403120,2228994,564817,371417,1152457,1109622,1065933,99.54%,90.75%,100.00%,99.80%,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/100px-Denver_Broncos_logo.svg.png
Detroit,Detroit,Detroit Lions,42.34016,-83.04581,MI,,,664139,711131,-0.0661,,4788,138.715,1,4,2,54172,1720610,8462,1720610,754284,282019,105682,31430,344582,23124,250330,66268,516062,92146,294572,149336,473548,531990,2.48,3.18,4272115,753859,106093,1321615,270976,98962,1707354,663523,799665,19461,51066,173639,1836754,598095,808133,25510,174809,230207,50863,32,52,10,88,29,74687,22605,5775,3856,3932,9042,22605,14845,1012880,230751,252950,3019345,85927,185139,825252,268136,579485,398861,2748279,978346,3373913,196849,593418,4319629,3874512,3827779,445117,445117,264768,180349,491850,3489639,577718,114770,1720610,1602423,1503425,99.58%,92.42%,100.00%,99.80%,https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Detroit_Lions_logo.svg/100px-Detroit_Lions_logo.svg.png
Houston,Houston,Houston Texans,29.68478,-95.41096,TX,,,2323660,2100280,0.1064,,3630,640.194,1,4,4,58890,2436438,12238,2436438,1233908,568994,150424,62607,427274,38140,287784,56701,624832,154534,305070,115411,921240,583978,2.87,3.46,6985870,1233514,150476,2366516,615235,183691,2707549,1002317,1385349,51948,52579,215356,2803774,877075,1347516,72413,190101,316669,98373,35,55,11,95,32,179210,61750,10471,10787,14985,25507,61750,39341,1915864,417310,434194,4571710,370499,332483,1075744,342711,971507,551225,3868728,1522732,5200659,260807,656853,7066140,5411629,5293471,1654511,1654511,705251,949260,1772669,3930569,2632057,1988909,2436438,2305814,2169801,99.65%,96.63%,100.00%,91.80%,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png
Indianapolis,Indianapolis,Indianapolis Colts,39.76006,-86.16381,IN,,,887232,821579,0.0799,,2454,361.571,1,2,1,56360,793781,6186,793781,369350,145523,52698,14346,143941,10851,107778,26832,227792,41996,143040,56550,236132,211565,2.57,3.28,2040198,367987,54077,620552,125770,78031,797308,294755,392029,9798,19004,81722,855280,279564,391424,12221,67027,105044,23378,27,46,11,79,24,35234,12806,1401,2365,2659,6381,12806,7150,506855,114670,104892,1387825,43029,90566,394308,111197,314963,173394,1254230,488357,1566921,101504,247101,2076531,1932642,1912833,143889,143889,61755,82134,163698,1763728,176995,86634,793781,729164,685052,97.20%,60.68%,99.80%,96.80%,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png
Jacksonville,Jacksonville,Jacksonville Jaguars,30.32393,-81.63736,FL,,,929647,823114,0.1294,,1244,747.467,1,1,1,51421,584381,5888,584381,274910,98763,38631,13569,107676,6307,75374,18329,163164,32448,85678,39542,173381,175915,2.61,3.18,1527509,275543,37903,445109,116618,67955,610028,212887,296411,9061,17158,74511,656688,190064,298763,14350,56121,97390,19914,33,55,8,91,33,33959,12933,1180,3920,2038,5795,12933,8910,359418,72331,87908,1084491,30076,61046,301614,110453,229042,123576,993369,352618,1192083,138473,191689,1559514,1412714,1367942,146800,146800,86802,59998,191572,1279027,185656,91832,584381,552359,522338,15.75%,35.32%,0.13%,13.57%,https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Jacksonville_Jaguars_logo.svg/100px-Jacksonville_Jaguars_logo.svg.png
Kansas City,Kansas City,Kansas City Chiefs,39.04891,-94.48404,MO,,,501957,460697,0.0896,,1594,314.886,1,3,1,55009,844310,6030,844310,410526,166286,53356,17384,153996,11963,110607,25917,226432,44627,132154,62387,264230,231813,2.52,3.13,2124519,409548,54377,638421,110112,67751,836625,278644,432916,13561,20380,91124,889645,247019,436020,15311,74460,116835,26391,28,52,14,92,25,38011,15861,2704,2790,3128,7239,15861,9885,516631,115147,105296,1462067,38652,67249,388796,112093,347595,203966,1356166,551561,1632616,125216,258227,2155068,2002671,1982877,152397,152397,69024,83373,172191,1805354,211894,116419,844310,798299,746913,97.97%,65.91%,99.87%,98.80%,https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Kansas_City_Chiefs_logo.svg/100px-Kansas_City_Chiefs_logo.svg.png
Las Vegas,Las Vegas,Las Vegas Raiders,36.1699,-115.1398,NV,,,667501,584576,0.1419,,4708,141.767,1,3,2,48806,813607,7174,813607,349549,134053,62909,21481,177633,12893,119392,32131,223516,45062,114729,48972,245338,242038,2.76,3.45,2244412,348582,63922,671526,243565,103210,908369,355012,406827,14458,21756,110316,924156,286911,400206,25512,73299,138228,27110,37,49,8,89,24,59045,17136,2436,4012,2467,8221,17136,11626,524861,120884,118155,1560947,85448,127911,440002,133363,262662,137445,1347588,400107,1738257,145446,268896,2266715,1753485,1711851,513230,513230,261153,252077,554864,1388300,739422,500163,813607,767327,689718,97.89%,65.29%,99.88%,98.80%,https://upload.wikimedia.org/wikipedia/en/thumb/f/f4/Oakland_Raiders_60_seasons_logo.svg/1200px-Oakland_Raiders_60_seasons_logo.svg.png
Los Angeles,Los Angeles,Los Angeles Chargers/Rams,34.0522,118.2437,CA,,,3983540,3795510,0.0495,,8494,468.956,1,10,3,66684,4372678,11595,4372678,2059178,850043,291344,104511,813708,50091,482137,130607,1208448,195621,597275,279182,1395346,1319748,2.97,3.6,12981466,2057947,292720,4051319,1566217,640585,5312890,2309824,2441726,87696,105981,367663,5551493,2063466,2382067,129740,419970,556250,142363,21,43,11,59,36,382197,71765,13113,14545,11172,32935,71765,46572,3397799,679206,1107985,9162092,981619,727016,1829694,651851,2119864,1132529,7453457,3252393,10371042,341366,1256357,13214799,8863087,8699167,4351712,4351712,2345945,2005767,4515632,5682598,6767624,4476896,4372678,4158748,3902981,99.69%,98.67%,100.00%,91.80%,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/NFL_Chargers_logo.svg/100px-NFL_Chargers_logo.svg.png
Louisville,Louisville,Louisville,38.2527,-85.7585,KY,x,6,615924,596482,0.0326,5,2338,263.434,0,0,1,52134,495246,3949,495246,226979,80563,33776,10594,94407,7060,70657,19027,140084,27581,78374,37322,143341,147697,2.51,3.14,1240902,226650,34275,353671,88694,42366,496386,174798,242146,8293,15530,55619,534496,155268,244989,10372,46408,77459,13536,30,46,19,86,17,26534,12226,2140,2043,1901,6142,12226,7879,291957,64108,69893,878487,24107,56428,260983,78678,166621,103264,797952,269885,982476,72987,179488,1266389,1179674,1167816,86715,86715,38632,48083,98573,1094605,95961,46725,495246,459263,422410,10.56%,29.01%,0.02%,2.00%,
Miami,Miami,Miami Dolphins,25.95792,-80.23884,FL,,,478251,400779,0.1933,,13286,35.996,1,5,1,60966,2187192,11717,2187192,953847,321771,156973,54058,406199,27821,264879,87493,670173,123580,343303,189712,611707,790702,2.78,3.43,6085899,953360,157430,1804507,730621,252789,2469184,937389,1151928,55910,66751,257206,2663077,837059,1093518,78056,262350,392094,56835,24,40,7,66,26,170064,33609,5772,6336,6328,15173,33609,21692,1466400,301550,426430,4435058,315428,335757,1162447,412456,913264,555831,3783873,1469095,4918891,190420,677858,6166488,3602998,3428082,2563490,2563490,1519901,1043589,2738406,2612345,3208634,2492247,2187192,2067144,1853523,99.63%,94.41%,100.00%,99.80%,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png
